,UCLA Status,Custom field (UID Number),Mifi,CLICC ChromeBook,CLICC HP Laptop,CLICC MacBook,ITS MacBook,ITS Touchscreen Laptop,ITS Windows Laptop,ITS iPad
303,Graduate,604359921,0,0,0,0,0,0,0,1
304,Graduate,604688347,0,0,0,0,0,0,0,1
305,Graduate,604760606,0,0,0,0,1,0,0,0
306,Graduate,604866090,1,0,0,0,0,0,0,0
307,Graduate,605024045,0,0,1,0,0,0,0,0
308,Graduate,605034723,1,0,0,0,0,0,0,0
309,Graduate,605038245,1,0,0,0,0,0,0,0
310,Graduate,605043143,1,0,0,0,0,0,0,0
311,Graduate,605074889,1,1,0,0,0,0,0,0
312,Graduate,605226114,0,0,0,0,0,0,0,1
313,Graduate,605256931,0,0,0,0,0,0,0,1
314,Graduate,605315105,1,0,0,0,1,0,0,0
315,Graduate,605331474,1,0,0,0,0,0,0,0
316,Graduate,605352697,0,1,0,0,0,0,0,0
317,Graduate,605477881,1,0,0,0,0,0,0,0
318,Graduate,605478041,1,0,0,0,0,0,0,0
319,Graduate,605478296,1,0,0,0,0,0,0,0
320,Graduate,605488455,0,0,0,0,0,0,0,1
321,Graduate,605491575,1,0,0,0,0,0,0,0
322,Graduate,605524774,0,0,0,0,0,0,0,1
323,Graduate,605527112,1,0,0,1,0,0,0,0
324,Graduate,605527145,1,0,0,0,0,0,0,0
325,Graduate,605527268,1,0,0,0,0,0,0,0
326,Graduate,605527292,1,0,1,0,0,0,0,0
327,Graduate,605528625,1,0,0,0,0,0,0,0
328,Graduate,605628700,1,0,0,0,0,0,0,0
329,Graduate,605629422,0,0,0,0,0,0,0,1
330,Graduate,605629455,0,0,0,0,0,0,1,0
331,Graduate,605634353,0,0,0,0,0,0,1,0
332,Graduate,703291842,0,0,0,0,0,0,1,0
333,Graduate,703692793,1,0,0,0,0,0,0,0
334,Graduate,703742378,0,1,0,0,0,0,0,0
335,Graduate,704115065,0,0,0,0,1,0,0,0
336,Graduate,704264319,0,0,0,0,0,0,1,0
337,Graduate,704432638,1,0,0,0,0,0,0,1
338,Graduate,704488084,0,1,0,0,0,0,0,0
339,Graduate,704617934,1,0,0,0,1,0,0,0
340,Graduate,704714572,0,0,0,0,0,0,0,1
341,Graduate,704851385,1,0,0,0,0,1,0,0
342,Graduate,704857373,1,0,0,0,0,0,1,0
343,Graduate,704939251,1,0,1,0,0,0,0,0
344,Graduate,705-523-043,1,0,0,0,0,0,0,0
345,Graduate,705027920,1,0,0,0,0,0,1,0
346,Graduate,705037523,1,0,0,0,0,0,0,0
347,Graduate,705091421,1,0,0,0,0,0,0,0
348,Graduate,705225557,0,0,0,0,0,0,0,1
349,Graduate,705229348,1,0,0,0,0,0,0,0
350,Graduate,705234745,0,0,0,0,0,1,0,0
351,Graduate,705235537,0,0,0,0,0,1,0,0
352,Graduate,705269198,0,0,0,0,0,0,1,0
353,Graduate,705348921,1,0,0,0,0,0,0,1
354,Graduate,705350396,0,0,0,0,0,0,1,0
355,Graduate,705352606,1,0,0,0,0,0,0,0
356,Graduate,705428692,0,0,0,0,0,0,1,0
357,Graduate,705430416,0,0,0,0,1,0,0,0
358,Graduate,705443174,1,0,0,0,0,0,0,0
359,Graduate,705465335,1,0,0,0,0,0,0,0
360,Graduate,705522473,0,0,0,0,0,0,0,1
361,Graduate,70552983,1,0,0,1,0,0,0,0
362,Graduate,705542616,1,0,0,0,0,0,0,0
363,Graduate,705627210,0,0,0,0,0,0,1,0
364,Graduate,705628417,0,0,0,0,0,0,0,1
365,Graduate,705628436,0,0,0,0,0,0,0,1
366,Graduate,705637884,1,0,0,0,0,0,1,0
367,Graduate,705651525,0,0,0,0,0,0,1,0
368,Graduate,803609595,1,0,0,0,0,0,0,0
369,Graduate,803767085,0,0,0,1,0,0,0,0
370,Graduate,803787489,1,0,0,0,0,0,0,0
371,Graduate,804037581,0,0,0,0,0,1,0,0
372,Graduate,804156574,1,0,0,0,0,0,0,0
373,Graduate,804227500,1,0,0,0,1,0,0,0
374,Graduate,804432529,0,0,0,0,0,0,1,0
375,Graduate,804433086,1,0,0,0,0,0,0,0
376,Graduate,804519669,1,0,0,0,1,0,0,0
377,Graduate,804548704,1,0,0,0,0,0,0,0
378,Graduate,804590873,0,0,0,0,0,0,0,1
379,Graduate,804615618,1,0,0,0,0,0,1,0
380,Graduate,804699298,0,0,0,0,0,0,1,0
381,Graduate,804705770,1,0,0,0,0,0,0,1
382,Graduate,804776847,0,0,0,0,0,0,0,1
383,Graduate,804777620,0,1,0,0,0,0,0,0
384,Graduate,804875084,1,0,0,0,0,0,0,0
385,Graduate,805-428-738,1,0,0,0,0,0,0,0
386,Graduate,805027161,1,0,0,0,0,1,0,0
387,Graduate,805061414,0,0,0,0,0,0,1,0
388,Graduate,805218170,0,0,0,0,0,0,1,0
389,Graduate,805226113,0,0,0,0,0,0,0,1
390,Graduate,805226863,0,0,0,0,0,0,1,0
391,Graduate,805232312,1,0,0,0,0,0,0,0
392,Graduate,805322874,0,0,0,0,0,0,1,0
393,Graduate,805349864,0,1,0,0,0,0,0,0
394,Graduate,805353120,1,0,0,0,0,0,1,0
395,Graduate,805429356,0,1,0,0,0,0,0,0
396,Graduate,805430010,0,0,0,0,0,0,0,1
397,Graduate,805431444,1,0,0,0,0,0,0,0
398,Graduate,805433787,0,0,0,1,0,0,0,0
399,Graduate,805434051,1,0,0,0,0,0,1,0
400,Graduate,805434094,0,0,0,0,1,0,0,0
401,Graduate,805447322,1,0,0,0,0,0,0,0
402,Graduate,805488440,0,0,0,0,0,0,1,0
403,Graduate,805522509,1,0,0,0,0,0,0,0
404,Graduate,805524787,0,0,0,0,0,0,0,1
405,Graduate,805527314,1,0,0,0,0,0,1,0
406,Graduate,805527941,0,0,0,0,0,0,1,0
407,Graduate,805628501,1,1,0,0,0,0,0,0
408,Graduate,805629478,1,0,0,0,0,0,0,0
409,Graduate,805637077,1,0,0,1,0,0,0,0
410,Graduate,903670752,0,0,0,0,0,0,1,0
411,Graduate,903710791,0,0,0,0,1,0,0,0
412,Graduate,904062396,0,0,0,0,1,0,0,0
413,Graduate,904145151,0,0,0,0,0,1,0,0
414,Graduate,904174134,0,0,0,0,1,0,0,0
415,Graduate,904320475,1,0,0,0,0,0,0,0
416,Graduate,904363016,0,0,0,0,0,0,0,1
417,Graduate,904406290,0,0,0,0,0,0,0,1
418,Graduate,904504238,1,0,0,0,0,0,0,0
419,Graduate,904516509,0,0,0,0,0,1,0,0
420,Graduate,904558641,0,0,0,0,1,0,0,0
421,Graduate,904699226,0,0,0,0,0,0,1,0
422,Graduate,904760110,1,0,0,0,0,0,0,0
423,Graduate,904794445,1,0,0,0,0,0,0,0
424,Graduate,904864004,0,0,0,0,1,0,0,0
425,Graduate,904864928,0,0,0,0,0,0,0,1
426,Graduate,905026236,0,0,0,0,0,0,0,1
427,Graduate,905069457,0,0,0,0,0,1,0,0
428,Graduate,905079970,0,0,0,0,0,0,0,1
429,Graduate,905218221,0,0,0,0,0,0,0,1
430,Graduate,905224260,0,0,0,1,0,0,0,0
431,Graduate,905225716,1,0,0,0,0,0,1,0
432,Graduate,905236102,0,0,0,0,1,0,0,0
433,Graduate,905253506,1,0,0,0,0,0,0,0
434,Graduate,905278724,1,0,0,0,0,0,1,0
435,Graduate,905350376,0,0,0,0,0,0,1,0
436,Graduate,905350767,1,0,0,0,0,0,0,0
437,Graduate,905353209,0,0,0,0,1,0,0,0
438,Graduate,905353619,1,0,0,0,0,0,1,0
439,Graduate,905427544,0,1,0,0,0,0,0,0
440,Graduate,905428399,0,0,0,0,0,0,1,0
441,Graduate,905429817,0,0,0,0,0,0,0,1
442,Graduate,905455533,1,0,0,0,1,0,0,0
443,Graduate,905473075,0,0,0,0,0,0,1,0
444,Graduate,905478129,1,0,0,0,0,0,0,0
445,Graduate,905478346,1,0,0,0,0,0,0,0
446,Graduate,905625173,1,0,0,0,0,0,0,0
447,Graduate,905627445,1,0,0,0,0,0,0,0
448,Graduate,905628548,1,0,0,0,0,0,0,0
449,Staff,002620239,0,0,0,0,0,0,1,0
450,Staff,003614708,0,0,0,0,0,1,0,0
451,Staff,100650831,0,0,0,0,0,1,0,0
452,Staff,103138711,0,0,0,0,0,0,1,0
453,Staff,105470033,0,0,0,0,0,0,1,0
454,Staff,202813779,0,0,0,0,0,1,0,0
455,Staff,205651863,0,0,0,0,0,0,1,0
456,Staff,304217669,0,0,0,0,0,0,1,0
457,Staff,600739609,0,0,0,0,0,1,0,0
458,Staff,604014646,0,0,0,0,0,0,1,0
459,Undergraduate,004718130,0,0,1,0,0,0,0,0
460,Undergraduate,004823065,0,0,0,0,0,0,1,0
461,Undergraduate,004830909,1,0,0,0,0,0,0,0
462,Undergraduate,004919732,0,0,0,0,0,1,0,0
463,Undergraduate,004931833,0,0,0,0,1,0,0,0
464,Undergraduate,004964611,1,0,0,0,0,0,0,0
465,Undergraduate,004980220,1,0,0,0,0,0,0,0
466,Undergraduate,004991619,1,0,0,0,0,0,0,0
467,Undergraduate,005-485-723,1,0,0,1,0,0,0,0
468,Undergraduate,005002800,0,0,1,0,0,0,0,0
469,Undergraduate,005010206,1,0,0,0,0,0,0,0
470,Undergraduate,005013276,1,1,0,0,0,0,0,0
471,Undergraduate,005018033,1,0,0,0,0,0,0,0
472,Undergraduate,005095658,1,0,0,0,0,0,0,0
473,Undergraduate,005096040,1,0,0,0,0,0,0,0
474,Undergraduate,005103597,1,0,0,0,0,0,0,0
